search_term,title,price,rating,url
soap eco friendly packaging,"Zest Deodorant Bar Soap, Hydrating Moisture for All Skin Types, Aqua, 4 oz, 8 Bars","$548
current price $5.48
17.1 ¢/oz",,https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~primary-exact&pos=1&tax=1005862_1071969&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FZest-Deodorant-Bar-Soap-Hydrating-Moisture-for-All-Skin-Types-Aqua-4-oz-8-Bars%2F19898001%3FclassType%3DVARIANT%26athbdg%3DL1102%26adsRedirect%3Dtrue&adUid=e7d85add-0100-468d-8a98-603f8f88303c-0-0&mloc=sp-search-middle&pltfm=desktop&pgId=soap%20eco%20friendly%20packaging&pt=search&spQs=-aMUhAqPYTnQMwDKiCBstuzXIJbfsWJ9Qu1G4vwNVOqHfeMcLiMG2SQ8X0d0rcdY8rIyVLwCMnWlRT_QmJ6b7Krd_pOnqlnqIjvwLH6gA9p1Jaxjq-resWR_7ieuhD_lp3gY9RQ7QwHVZWkfqoDVf6y1_w2kArqdAPqfY_Z62tftw84aJ-ApSi03liaMJRc08j3ogpVOXZryfA4HcW6fjjCkKGqgbnrdR2YDUDY0dMmXlpXC5SMKiFDMmgD104a2OYiE3NKa97Br6PAAE_hswsNTl62ubbhc8wQo7uHqEp0&storeId=3081&specificity=narrow&specificityScore=0.7236645&couponState=na&bkt=ace1_11962%7Cace2_default%7Cace3_default%7Csearch_cassandra-first%7Csearch_l1_ranker_tier_labels_1_0p5%7Ccoldstart_off&classType=VARIANT&athbdg=L1102
soap,"Dove Beauty Bar Women's Bath Soap Original Deep Moisturizing All Skin, 3.75 oz 12 Bars","Now $13.86
current price Now $13.86
$15.97
Was $15.97",8914,https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sb-search-top~desktop~&pos=2&tax=1005862_1071969_1694681_4735846&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FDove-Beauty-Bar-Women-s-Bath-Soap-Original-Deep-Moisturizing-All-Skin-3-75-oz-12-Bars%2F614145836%3FadsRedirect%3Dtrue&adUid=6fda9f12-0f3a-4bf5-8f54-ebeb43b6d93d&mloc=sb-search-top&pltfm=desktop&pgId=soap&pt=search&spQs=7gxLXAtqTdgl_xXpQJl-CWSBxFH6eK3DwsQ5r32XkkNlOc1tggFeIYwu0vVeaY7e4qIopb2mjtOseHiXpEh9LiytdmipLAcV7-ENmb2L4GUIaeQ4IkYpma-F-P4xwtMRizdDVP6oy4as8JPFMRf_vT_KGk371jUlVDkMNGZ7iir6CO2HMJAGZyEjD7i4n94BRLXjcWPQWj8rvbmKJeerHcSloe4FeBqpfyIJNWA_OVw&storeId=3081&specificity=broad&specificityScore=0.18092191&couponState=na&bkt=ace1_default%7Cace2_default%7Cace3_default&/ip/Dove-Beauty-Bar-Women-s-Bath-Soap-Original-Deep-Moisturizing-All-Skin-3-75-oz-12-Bars/614145836
snack bars upcycled ingredients,"Pop-Tarts Frosted Brown Sugar Cinnamon Toaster Pastries, Breakfast Foods, Shelf-Stable, 27 oz (16 Count)","$4.97
current price $4.97",1561,https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sb-search-top~desktop~&pos=2&tax=976759_976783&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FPop-Tarts-Frosted-Brown-Sugar-Cinnamon-Toaster-Pastries-Breakfast-Foods-Shelf-Stable-27-oz-16-Count%2F965545833%3FadsRedirect%3Dtrue&adUid=d9f14f98-141d-450a-888b-2aed39c86838&mloc=sb-search-top&pltfm=desktop&pgId=snack%20bars%20upcycled%20ingredients&pt=search&spQs=nkx-C_qgunkeYq4LnuU6EmzmxvNT_tbT7RoLW68-2b0UZJqZ2Jmw4YldVCUZWCvIfJjJQBIWNaef6EBx0VjWQxsvqnuJZSNklMYAP_3TNxkK5-aWLTuJQFQ0AP-HLHLqpvQSIDOH8-0VEpjAB7nNaJH_GRBxOpSjJvYX416jKhR4vIkweprlyb81dTqVgQzmJo0tz_xseofDRKX9TA8f825mbXROuewLBZBv8_QFj_8&storeId=3081&specificity=broad&specificityScore=0.6003244&couponState=na&bkt=ace1_default%7Cace2_default%7Cace3_default&/ip/Pop-Tarts-Frosted-Brown-Sugar-Cinnamon-Toaster-Pastries-Breakfast-Foods-Shelf-Stable-27-oz-16-Count/965545833
regular snack bars,"Pop-Tarts Frosted Brown Sugar Cinnamon Toaster Pastries, Breakfast Foods, Shelf-Stable, 27 oz (16 Count)","$4.97
current price $4.97",1561,https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sb-search-top~desktop~&pos=2&tax=976759_976783&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FPop-Tarts-Frosted-Brown-Sugar-Cinnamon-Toaster-Pastries-Breakfast-Foods-Shelf-Stable-27-oz-16-Count%2F965545833%3FadsRedirect%3Dtrue&adUid=c3e64ee5-9a1a-41cc-8c0d-2a12fa49d3b0&mloc=sb-search-top&pltfm=desktop&pgId=regular%20snack%20bars&pt=search&spQs=nkx-C_qgunkeYq4LnuU6EmzmxvNT_tbT7RoLW68-2b0UZJqZ2Jmw4YldVCUZWCvI4_9AHN-PNaNDlZ7nMSh2Vl_dA_r0xSRfrb4mOkixbKgK5-aWLTuJQFQ0AP-HLHLqEc7-LpWiVA484ieRqa7q05H_GRBxOpSjJvYX416jKhR4vIkweprlyb81dTqVgQzmJo0tz_xseofDRKX9TA8f825mbXROuewLBZBv8_QFj_8&storeId=3081&specificity=broad&specificityScore=0.51503825&couponState=na&bkt=ace1_default%7Cace2_default%7Cace3_default&/ip/Pop-Tarts-Frosted-Brown-Sugar-Cinnamon-Toaster-Pastries-Breakfast-Foods-Shelf-Stable-27-oz-16-Count/965545833
local farm sourced honey,"Fischers Honey, 24oz Raw and Unfiltered, Local 100% US Grade ""A"", Squeeze Bottle","$8.97
current price $8.97",477,https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sb-search-top~desktop~&pos=2&tax=976759_976794&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FFischers-Honey-24oz-Raw-and-Unfiltered-Local-100-US-Grade-A-Squeeze-Bottle%2F10317841%3FadsRedirect%3Dtrue&adUid=486a433e-53b8-43b9-b0d0-000d0de599eb&mloc=sb-search-top&pltfm=desktop&pgId=local%20farm%20sourced%20honey&pt=search&spQs=lx-FV_5OSTVt3cExCHa_y0KCCx_PJ6oKTbWxuqkj2KafK1OG0CC9ZQQLpPeku1IsGqXIZ0KaepQq6-Ojxi6q5bABxSaYwyVvgDTE5WdAVnStm5EzPPzOWl8NPg3qSXYaRKVqxA_sZ17bMZft76qZ3ON3Yx045hqohyAfc0rDWzsnX8eS6qbqeNX3HECXdDUEdbCZtb_FxDz2MtxAztoukrn6uiwCaZep1_ZDxbjSwyk&storeId=3081&specificity=broad&specificityScore=0.84841615&couponState=na&bkt=ace1_default%7Cace2_default%7Cace3_default&/ip/Fischers-Honey-24oz-Raw-and-Unfiltered-Local-100-US-Grade-A-Squeeze-Bottle/10317841
imported honey,"Fischers Honey, 24oz Raw and Unfiltered, Local 100% US Grade ""A"", Squeeze Bottle","$8.97
current price $8.97",477,https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sb-search-top~desktop~&pos=2&tax=976759_976794&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FFischers-Honey-24oz-Raw-and-Unfiltered-Local-100-US-Grade-A-Squeeze-Bottle%2F10317841%3FadsRedirect%3Dtrue&adUid=63f31ca5-6aca-496e-92e1-f2d6b1275d48&mloc=sb-search-top&pltfm=desktop&pgId=imported%20honey&pt=search&spQs=lx-FV_5OSTVt3cExCHa_y0KCCx_PJ6oKTbWxuqkj2KafK1OG0CC9ZQQLpPeku1IsDKlvUNvxw5gbN30FU9ZhseVHW0bhfQw4HZp_WUZhe8bwbGj83w_AJWvtDcc1srz7xlCcpXYaDni3ob7SOXfmViDoKLExWEZdKooa-JT23vp76DrynndEQhoK9HGt64X4sRnOVF-IFtsu7ZmHtXwlTG5mbXROuewLBZBv8_QFj_8&storeId=3081&specificity=broad&specificityScore=0.61848086&couponState=na&bkt=ace1_default%7Cace2_default%7Cace3_default&/ip/Fischers-Honey-24oz-Raw-and-Unfiltered-Local-100-US-Grade-A-Squeeze-Bottle/10317841
independent brand sustainable snack,"Sustainable Snacks, Spicy Cherry + Almonds Chocolate Superfood Snacks","$699
current price $6.99",,https://www.walmart.com/ip/Sustainable-Snacks-Spicy-Cherry-Almonds-Chocolate-Superfood-Snacks/137073133?classType=VARIANT&from=/search
chips non-sustainable,"Doritos Nacho Cheese Tortilla Snack Chips,Party Size, 14.5 Ounce Bag","Now $5.00
current price Now $5.00
$5.94
Was $5.94",9682,https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sb-search-top~desktop~&pos=2&tax=976759_976787&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FDoritos-Nacho-Cheese-Tortilla-Snack-Chips-Party-Size-14-5-Ounce-Bag%2F433078517%3FadsRedirect%3Dtrue&adUid=a0d91b56-2027-4d77-be19-c26b418d912b&mloc=sb-search-top&pltfm=desktop&pgId=chips%20non-sustainable&pt=search&spQs=m62bd2le9hogoo4FA7CcyDHMSVZfLD7XebmqUI5eVSbDLlr4w8npbhNt6urZ0l1djQWlR5hhEno86ypI3iHbVnam3pzlJVwGo6EkHOBPRzeaQlJmYhyOeRjFx4jhD10dicaQuOTBf8xSR00ni4VbyLFkJ8R9Awu-MFSrFTn1YoiRr1G3XEIyS2VSHcA_G6mtMKQoaqBuet1HZgNQNjR0yblYOfP9L41wP1qJm5i2fvk&storeId=3081&specificity=broad&specificityScore=0.47360313&couponState=na&bkt=ace1_default%7Cace2_default%7Cace3_default&/ip/Doritos-Nacho-Cheese-Tortilla-Snack-Chips-Party-Size-14-5-Ounce-Bag/433078517
organic eco friendly snacks,"Pepperidge Farm Milano Double Dark Chocolate Cookies, 7.5 oz Bag (15 Cookies)","$3.97
current price $3.97",1578,https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sb-search-top~desktop~&pos=2&tax=976759_976787&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FPepperidge-Farm-Milano-Double-Dark-Chocolate-Cookies-7-5-oz-Bag-15-Cookies%2F10450471%3FadsRedirect%3Dtrue&adUid=fd58142e-c01d-4541-a17e-f299025a1a8c&mloc=sb-search-top&pltfm=desktop&pgId=organic%20eco%20friendly%20snacks&pt=search&spQs=pnMPWXNzDaZ-nnKlinn-nnOOj50KS9X8EjKdIiz14-urvWK5TlscEtemBALm7K_aZbtEXYzGqkWXmR9fATne56UrioYkB17Gl-4PEsO2yUl3PLQNqFvRaT0fkwWI_0NbJ-pndW3oXo0bJx9sA9W0acHx_r1Do6GNyH6Vsa-ktOIxMKeluJHtHXLAzZGTwTBkIxxWnakui6OxwBRuksY7Fr1YrC11Jk-a2P0MyVkSS7k&storeId=3081&specificity=narrow&specificityScore=0.7372779&couponState=na&bkt=ace1_default%7Cace2_default%7Cace3_default&/ip/Pepperidge-Farm-Milano-Double-Dark-Chocolate-Cookies-7-5-oz-Bag-15-Cookies/10450471
cheap snacks plastic packaging,"Lunchables Turkey & American Cheese Cracker Stackers Kids Lunch Snack, 3.2 oz Plastic Tray","$196
current price $1.96
61.3 ¢/oz",502,https://www.walmart.com/sp/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~primary-exact&pos=1&tax=1115193_1073264&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FLunchables-Turkey-American-Cheese-Cracker-Stackers-Kids-Lunch-Snack-3-2-oz-Tray%2F888875378%3FclassType%3DREGULAR%26adsRedirect%3Dtrue&adUid=c9c7dc19-f8eb-4c14-b59a-0d84ef218dfb-0-0&mloc=sp-search-middle&pltfm=desktop&pgId=cheap%20snacks%20plastic%20packaging&pt=search&spQs=W6-B6ODNVBZfi69FzdJ_2Rp1ZrLAYiqcdb8hodKet68NBhpwmhIuc544OUfGGyypoHd0-EGxIfM-C7emYFOzZVAvXdmStHlraQHCeHhjyFyqrAOjfl5hVu8cyQJ5eawzvu0WbSKsv1-yfHnCAFRUNmzC7OxsisJ8eEokY6C3_fvRt2haBGPIMaYUd4md5WJke_ajEW6av0ZeQPwddR7SdL6CVDlM83uBC9qW0xh9NkZnCcq2CLbcqedix_C2YFKGb6fOI22j5pRBlbcoqeNDeP9CW0sfUJZnqA0mzTgxc4I&storeId=3081&specificity=narrow&specificityScore=0.7667794&couponState=na&bkt=ace1_11963%7Cace2_11801%7Cace3_default%7Ccoldstart_on%7Csearch_cassandra-first&classType=REGULAR
